Region,Fire Trucks,Firefighting Personnel,Year,Month,Day of the Week,Severity
0,8.0,35.0,0,4,0,2
0,3.0,12.0,0,4,1,0
0,5.0,13.0,0,5,4,1
0,2.0,9.0,0,5,4,1
0,5.0,13.0,0,6,0,2
0,1.0,12.0,0,6,1,1
0,15.0,32.0,0,7,2,2
0,3.0,9.0,0,8,5,1
0,63.0,316.0,0,8,0,2
0,5.0,29.0,0,8,5,1
0,4.0,40.0,0,8,2,2
0,7.0,62.0,0,8,4,2
0,15.0,45.0,0,11,0,2
0,2.0,21.0,0,6,5,0
0,4.0,19.0,0,6,6,0
0,3.0,16.0,0,7,0,1
0,3.0,13.0,0,7,0,2
0,0.0,0.0,0,3,3,1
0,6.0,22.0,0,4,6,1
0,0.0,0.0,0,8,5,0
0,9.0,29.0,0,5,4,2
0,2.0,5.0,0,6,2,1
0,1.0,4.0,0,8,3,1
0,2.0,7.0,0,8,4,1
0,0.0,6.0,0,3,1,1
0,3.0,8.0,0,5,2,1
0,2.0,5.0,0,6,1,1
0,4.0,9.0,0,7,3,1
0,5.0,12.0,0,7,2,2
0,1.0,4.0,0,7,2,1
0,5.0,10.0,0,8,3,1
0,4.0,9.0,0,4,1,2
0,4.0,10.0,0,4,0,2
0,7.0,20.0,0,5,3,2
0,4.0,10.0,0,5,1,1
0,6.0,20.0,0,5,5,2
0,0.0,0.0,0,5,5,2
0,6.0,13.0,0,5,6,2
0,5.0,14.0,0,5,0,2
0,0.0,0.0,0,5,4,2
0,4.0,10.0,0,6,0,2
0,0.0,0.0,0,8,6,1
0,4.0,8.0,0,8,0,0
0,0.0,70.0,0,10,1,2
0,1.0,3.0,0,12,6,2
0,1.0,5.0,0,12,5,0
0,7.0,19.0,0,4,2,2
0,0.0,0.0,0,4,3,1
0,2.0,6.0,0,4,3,1
0,2.0,6.0,0,4,1,1
0,2.0,8.0,0,5,2,1
0,3.0,6.0,0,5,6,2
0,3.0,7.0,0,5,2,1
0,7.0,15.0,0,5,2,1
0,2.0,4.0,0,5,3,0
0,6.0,13.0,0,6,3,1
0,3.0,6.0,0,6,3,1
